Gamekey,Home_team,Away_Team,Day_of_week,Month,Day,Year,Week,Player_Short_Name,Player_Team,Home_Team,rushing_yds,rushing_tds,rushing_twoptm,rushing_yds_FF_pts,rushing_tds_FF_pts,rushing_twoptm_FF_pts,total_FF_pts
55861,KC,DAL,Sun,9,15,2013,2,T.Williams,DAL,False,-3,0,0,-1.0,0.0,0.0,-1.0
55861,KC,DAL,Sun,9,15,2013,2,D.Murray,DAL,False,25,0,0,2.0,0.0,0.0,2.0
55862,PHI,SD,Sun,9,15,2013,2,M.Vick,PHI,True,23,1,0,2.0,6.0,0.0,8.0
55862,PHI,SD,Sun,9,15,2013,2,B.Brown,PHI,True,13,0,0,1.0,0.0,0.0,1.0
55862,PHI,SD,Sun,9,15,2013,2,L.McCoy,PHI,True,53,0,0,5.0,0.0,0.0,5.0
55862,PHI,SD,Sun,9,15,2013,2,P.Rivers,SD,False,11,0,0,1.0,0.0,0.0,1.0
55862,PHI,SD,Sun,9,15,2013,2,R.Brown,SD,False,15,0,0,1.0,0.0,0.0,1.0
55862,PHI,SD,Sun,9,15,2013,2,D.Woodhead,SD,False,27,0,0,2.0,0.0,0.0,2.0
55862,PHI,SD,Sun,9,15,2013,2,R.Mathews,SD,False,73,0,0,7.0,0.0,0.0,7.0
55863,ARI,DET,Sun,9,15,2013,2,C.Palmer,ARI,True,-2,0,0,-1.0,0.0,0.0,-1.0
55863,ARI,DET,Sun,9,15,2013,2,R.Mendenhall,ARI,True,66,1,0,6.0,6.0,0.0,12.0
55863,ARI,DET,Sun,9,15,2013,2,A.Ellington,ARI,True,20,0,0,2.0,0.0,0.0,2.0
55863,ARI,DET,Sun,9,15,2013,2,A.Smith,ARI,True,1,0,0,0.0,0.0,0.0,0.0
55863,ARI,DET,Sun,9,15,2013,2,S.Taylor,ARI,True,2,0,0,0.0,0.0,0.0,0.0
55863,ARI,DET,Sun,9,15,2013,2,M.Stafford,DET,False,1,0,0,0.0,0.0,0.0,0.0
55863,ARI,DET,Sun,9,15,2013,2,N.Burleson,DET,False,-8,0,0,-1.0,0.0,0.0,-1.0
55863,ARI,DET,Sun,9,15,2013,2,R.Bush,DET,False,25,0,0,2.0,0.0,0.0,2.0
55863,ARI,DET,Sun,9,15,2013,2,J.Bell,DET,False,31,0,0,3.0,0.0,0.0,3.0
55864,TB,NO,Sun,9,15,2013,2,J.Freeman,TB,True,16,0,0,1.0,0.0,0.0,1.0
55864,TB,NO,Sun,9,15,2013,2,B.Leonard,TB,True,0,0,0,0.0,0.0,0.0,0.0
55864,TB,NO,Sun,9,15,2013,2,D.Martin,TB,True,144,0,0,14.0,0.0,0.0,14.0
55864,TB,NO,Sun,9,15,2013,2,D.Sproles,NO,False,26,0,0,2.0,0.0,0.0,2.0
55864,TB,NO,Sun,9,15,2013,2,M.Ingram,NO,False,20,0,0,2.0,0.0,0.0,2.0
55864,TB,NO,Sun,9,15,2013,2,P.Thomas,NO,False,29,0,0,2.0,0.0,0.0,2.0
55865,NYG,DEN,Sun,9,15,2013,2,D.Scott,NYG,True,2,0,0,0.0,0.0,0.0,0.0
55865,NYG,DEN,Sun,9,15,2013,2,B.Jacobs,NYG,True,4,1,0,0.0,6.0,0.0,6.0
55865,NYG,DEN,Sun,9,15,2013,2,D.Wilson,NYG,True,17,0,0,1.0,0.0,0.0,1.0
55865,NYG,DEN,Sun,9,15,2013,2,P.Manning,DEN,False,-3,0,0,-1.0,0.0,0.0,-1.0
55865,NYG,DEN,Sun,9,15,2013,2,K.Moreno,DEN,False,93,2,0,9.0,12.0,0.0,21.0
55865,NYG,DEN,Sun,9,15,2013,2,M.Ball,DEN,False,16,0,0,1.0,0.0,0.0,1.0
55865,NYG,DEN,Sun,9,15,2013,2,R.Hillman,DEN,False,3,0,0,0.0,0.0,0.0,0.0
55866,OAK,JAC,Sun,9,15,2013,2,T.Pryor,OAK,True,50,0,0,5.0,0.0,0.0,5.0
55866,OAK,JAC,Sun,9,15,2013,2,D.McFadden,OAK,True,129,0,0,12.0,0.0,0.0,12.0
55866,OAK,JAC,Sun,9,15,2013,2,M.Reece,OAK,True,15,1,0,1.0,6.0,0.0,7.0
55866,OAK,JAC,Sun,9,15,2013,2,R.Jennings,OAK,True,32,0,0,3.0,0.0,0.0,3.0
55866,OAK,JAC,Sun,9,15,2013,2,C.Henne,JAC,False,9,0,0,0.0,0.0,0.0,0.0
55866,OAK,JAC,Sun,9,15,2013,2,J.Todman,JAC,False,7,0,0,0.0,0.0,0.0,0.0
55866,OAK,JAC,Sun,9,15,2013,2,D.Robinson,JAC,False,0,0,0,0.0,0.0,0.0,0.0
55866,OAK,JAC,Sun,9,15,2013,2,M.Jones-Drew,JAC,False,27,0,0,2.0,0.0,0.0,2.0
55866,OAK,JAC,Sun,9,15,2013,2,S.Burton,JAC,False,-9,0,0,-1.0,0.0,0.0,-1.0
55867,SEA,SF,Sun,9,15,2013,2,R.Wilson,SEA,True,33,0,0,3.0,0.0,0.0,3.0
